dd/mm/y,who,where,what,what-x (Hebrew),what-y (Hebrew)
07/04/2023,S(A)K,"דניאל ח,כה","Removed superflous maqaph following ""וְעַ֤ל"" (as in LC, S1 and Cambridge Add. 1753). Credit to Daniel Holman.",,
07/04/2023,S(A)K,"דניאל ח,ז","Changed accent to revia` in ""אֶת־הָאַ֗יִל"" (as found in LC and Cambridge Add. 1753). Credit to Daniel Holman.",,
07/04/2023,S(A)K,"נחמיה ב,כ","Changed accent to revia` in ""הַשָּׁמַ֗יִם"" (as found in LC and S1). Credit to Daniel Holman.",,
07/04/2023,S(A)K,"נחמיה ה,יד","Moved accent to the letter ח in ""הַפֶּחָ֖ה"" (as in LC and as expected). Credit to Daniel Holman.",,
06/04/2023,BD,כתובים אחרונים,Applied 263 auto-edits.,,
03/04/2023,S(A)K,"נחמיה יב,מז","Added qadma in the letter ה of ""וְהַ֨לְוִיִּ֔ם"" for מתיגת הזקף and added documentation note.",,
03/04/2023,S(A)K,"נחמיה יב,ל","Removed meteg from the letter א in ""וְאֶת־הַחוֹמָֽה""; changed documentation note.",,
27/03/2023,BD,דברים,"Applied 10 auto-edits. Add meteg marks to the 8 words listed in ""what-x"".","לֹֽא־נִסְּתָ֤ה 28:56, כִּֽי־לֹ֣א 28:62, אֽוֹ־אִשָּׁ֞ה 29:17, אֶת־בְּנֵֽי־יִשְׂרָאֵ֖ל 31:19, תִּֽהְיֶה־לִּ֜י 31:19, וַֽאֲנִי֙ 32:21, כִּֽי־צוּרָ֣ם 32:30, לְיַֽעֲקֹ֔ב 33:10",
27/03/2023,BD,קהלת,Applied 41 auto-edits.,,
27/03/2023,BD,עזרא,Applied 25 auto-edits.,,
26/03/2023,S(A)K,"דברים כח,נו","Added meteg to ""לֹֽא־נִסְּתָ֤ה"" (as in AC [but not LC]). Credit to Daniel Holman.",,
26/03/2023,S(A)K,"דברים כח,סב","Added meteg to x, making y (as in AC [but not LC]). Credit to Daniel Holman.",כִּי־לֹ֣א,כִּֽי־לֹ֣א
26/03/2023,S(A)K,"דברים כט,יז","Added meteg to x, making y (as in AC [but not LC]). Credit to Daniel Holman.",אוֹ־אִשָּׁ֞ה,אֽוֹ־אִשָּׁ֞ה
26/03/2023,S(A)K,"דברים לא,יט","Added meteg to x, making y (as in AC [but not LC]). Credit to Daniel Holman.",אֶת־בְּנֵי־יִשְׂרָאֵ֖ל,אֶת־בְּנֵֽי־יִשְׂרָאֵ֖ל
26/03/2023,S(A)K,"דברים לא,יט","Added meteg to x, making y (as in AC [but not LC]). Credit to Daniel Holman.",תִּהְיֶה־לִּ֜י,תִּֽהְיֶה־לִּ֜י
26/03/2023,S(A)K,"דברים לב,כא","Added meteg to x, making y (as in AC [but not LC]). Credit to Daniel Holman.",וַאֲנִי֙,וַֽאֲנִי֙
26/03/2023,S(A)K,"דברים לב,ל","Added meteg to x, making y (as in AC [but not LC]). Credit to Daniel Holman.",כִּי־צוּרָ֣ם,כִּֽי־צוּרָ֣ם
26/03/2023,S(A)K,"דברים לג,י","Added meteg to x, making y (as in AC [but not LC]). Credit to Daniel Holman.",לְיַעֲקֹ֔ב,לְיַֽעֲקֹ֔ב
25/03/2023,BD,various,"Applied more than 300 auto-edits, mostly to the 5 Megillot",,
25/03/2023,S(A)K,"תהלים נג,ו","Moved ""oleh"" to the first letter of its syllable (י) in ""לֹא־הָ{{אתנח הפוך}}יָ֫ה פָ֥חַד"" as expected and as presumably as intended in AC and LC (where the ""oleh"" is suspended over both letters of the syllable in the middle); cf. S1, B1 and most printed versions. Credit to Daniel Holman.",,
20/03/2023,S(A)K,"תהלים עח,לב","Changed accent to merkha in ""בְּכׇל־זֹ֥את"" (as in AC and LC). Credit to Daniel Holman.",,
20/03/2023,S(A)K,"איכה א,יב","Accent zaqeph qaton in ""וּרְא֔וּ"" (as in Cambridge, B1 and apparently in LC as well [AC not extant]).",,
16/03/2023,BD,"מיכה ב,יב",Fix pointed Hebrew in doc-note to have our standard mark order,,
15/03/2023,S(A)K,"משלי ה,יט","Put ""oleh"" in the letter י of ""וְֽיַ֫עֲלַת־חֵ֥ן"", following the general practice of AC.",,
15/03/2023,S(A)K,"תהלים קמד,ז","Put ""oleh"" in the first letter מ of ""מִ֫מָּר֥וֹם"", following the general practice of AC.",,
15/03/2023,S(A)K,"מיכה ב,יב","Added qamaz qatan within template for ""הַדׇּֽבְר֔וֹ"". Credit to Moshe Greenberg.",,
12/03/2023,S(A)K,"תהלים קלט,ז","In the letter נ of ""אָ֭נָֽה"", meteg instead of merkha (as in LC [AC is ambiguous but reading is now consistent with other similar places]); added documentation note. ",,
12/03/2023,S(A)K,"תהלים פו,ז","In the letter ת of ""צָ֭רָתִֽי"", meteg instead of merkha (AC and LC are ambiguous but reading is now consistent with other similar places); added documentation note.",,
12/03/2023,S(A)K,"תהלים קלח,ג","In the letter ר of ""קָ֭רָֽאתִי"", meteg instead of merkha (as in LC [AC is ambiguous but reading is now consistent with other similar places]); added documentation note. Credit to Daniel Holman.",,
12/03/2023,S(A)K,"תהלים קמה,ו",Added documentation note to the qeri ukhtiv pair in this verse.,,
12/03/2023,S(A)K,"תהלים קמ,ו","Added maqaph in ""טָ֥מְנֽוּ־גֵאִ֨ים{{מ:לגרמיה}}"" (as in AC); changed documentation note.",,
11/03/2023,S(A)K,"תהלים קז,יח","separator changed from space to maqaf, changing שערי מות to שערי־מות",,
10/03/2023,S(A)K,"תהלים קח,ג","In the letter ר of ""ע֭וּרָֽה"", meteg instead of merkha (as in LC [in AC the line is also quite straight]); added documentation note. Credit to Daniel Holman.",,
10/03/2023,S(A)K,"תהלים פט,כ","In ""דִּבַּ֥רְתָּֽ־בְחָז֡וֹן"", put the accent in the letter ז (as in AC and LC). Credit to Daniel Holman.",,
10/03/2023,S(A)K,"תהלים פח,ד","Added geresh muqdam in the first letter of ""וְ֝חַיַּ֗י"" (as in AC and LC). Credit to Daniel Holman.",,
10/03/2023,S(A)K,"תהלים עח,עא","In ""הֱבִ֫יא֥וֹ"", put the ""oleh"" in the letter ב (as in AC and LC). Credit to Daniel Holman.",,
10/03/2023,S(A)K,"תהלים נז,ט","In the letter ר of ""ע֭וּרָֽה"", meteg instead of merkha (as in AC? and LC); changed documentation note. Credit to Daniel Holman.",,
10/03/2023,S(A)K,"תהלים פט,כ","Added maqaph in ""דִּבַּ֥רְתָּֽ־בְחָ֡זוֹן"" (as in AC).",,
10/03/2023,S(A)K,"תהלים ל,ד","Put the word ""בֽוֹר"" into the documentation template but *outside* of the מ:קמץ template (see change below on 08/03/2023).",,
09/03/2023,S(A)K,"תהלים סט,כט","In the letter ח of ""יִ֭מָּחֽוּ"", meteg insead of merkha (as in LC [AC is ambiguous but reading is now consistent with other similar places]); changed documentation note.",,
05/03/2023,S(A)K,"תהלים יז,יד","Added maqaph (as well as varika mark) in ""מִ֥מְﬞתִֽים־יָדְךָ֨{{מ:לגרמיה}}"" (as found in LC and S1 [not extant in AC]).",,
08/03/2023,BD,"תהלים ל,ד",reverted the change that moved the word בֽוֹר inside the מ:קמץ template,,
08/03/2023,BD,"תהלים כז,יג","manually applied failed auto edit replacing ת= with ק-מ= (replacing x with y, if more context is given)",ת=לׅׄוּׄלֵׅ֗ׄאׅׄ,ק-מ=לׅׄוּׄלֵׅ֗ׄאׅׄ
08/03/2023,BD,various,applied 534 auto-edits successfully (1 failed),,
06/03/2023,S(A)K,"תהלים יט,טו","Added maqaph in ""יִ֥הְיֽוּ־לְרָצ֨וֹן{{מ:לגרמיה}}"" (as found in LC [not extant in AC]); changed target and text of documentation note.",,
06/03/2023,S(A)K,"איוב מב,י","Moved accent to the letter י in ""וַיֹּ֧סֶף"" (as in AC and LC). Credit to Daniel Holman.",,
06/03/2023,S(A)K,"תהלים יב,ו","Added maqaph in ""יָפִ֥יחַֽ־לֽוֹ"" (as in AC [but not in LC]); changed documentation note.",,
06/03/2023,S(A)K,"איוב כט,טז","Meteg instead of merkha at the end of ""אָ֭נֹכִֽי"" (as in AC? and LC); added documentation note. Credit to Daniel Holman.",,
06/03/2023,S(A)K,"איוב כ,ח","Corrected ""יִמְצָא֑וּהוּ"" to full spelling with the letter ו (as in AC and LC); defective spelling is found in the common printed editions. Credit to Daniel Holman.",,
06/03/2023,S(A)K,"איוב ו,כט","Added the letter ו to the qeri ""וְשׁ֥וּבוּ"" (as in AC and LC). Credit to Daniel Holman.",,
05/03/2023,S(A)K,"במדבר ג,ו","Removed meteg from ""וְהַעֲמַדְתָּ֣"" (as in most Tiberian manuscripts since it is a conjunctive accent); in LC there is a meteg, but it is not clear to which letter it belongs (ו or ה). Credit to anonymous contributor at Wikisource.",,
05/03/2023,S(A)K,"משלי לא,ו","Changed the accent in ""תְּנוּ־שֵׁכָ֥ר"" to merkha (as in AC and LC). Credit to Daniel Holman.",,
05/03/2023,S(A)K,"משלי כב,כ","Added the first letter י to the qeri ""שָׁלִישִׁ֑ים"" (as in AC and LC). Credit to Daniel Holman.",,
05/03/2023,S(A)K,"משלי כג,לא","Added dagesh to the first letter י of "" יַּיִן֮"" (as in AC and LC). Credit to Daniel Holman.",,
05/03/2023,S(A)K,"תהלים ז,ו","Added maqaph in ""יִ֥רַדֹּֽף־אוֹיֵ֨ב{{מ:לגרמיה}}נַפְשִׁ֡י"" (as in AC) and changed documentation note.",,
05/03/2023,S(A)K,"שמות יב,כח","Moved meteg from the letter י to the letter ו in ""וַֽיַּעֲשׂ֖וּ"" (as in LC). Credit to Daniel Holman.",,
05/03/2023,S(A)K,"בראשית ה,כא","Deleted meteg in ""וַיְחִ֣י"" (as in LC) and deleted documentation note. Credit to Daniel Holman.",,
05/03/2023,S(A)K,"איוב כג,ה","Added second maqaph in ""מַה־יֹּ֥אמַר־לִֽי"" (as found in AC [but not in LC]); changed documentation note.",,
03/03/2023,S(A)K,"ישעיהו סו,ח","Added second maqaph in ""אִם־יִוָּ֥לֵֽד־גּ֖וֹי"" which aids vocalization (as found in AC here and in parallel contexts [but not in LC]); changed documentation note.",,
