Genesis 2:4	<small>הִ</small>
Genesis 23:2	<small>כֹּ</small>
Genesis 27:46	<small>קַ֣</small>
Levit 1:1	<small>א</small>
Levit 6:2	<small>מ</small>
Numbers 25:11	<small>י</small>
Deuter 32:18	<small>י</small>
2Samuel 21:19	<small>רֵ֨</small>
Isaiah 44:14	<small>ן</small>
Jeremiah 14:2	<small>צִ</small>
Jeremiah 39:13	<small>ן֙</small>
Nahum 1:3	<small>ס</small>
Proverbs 28:17	<small>דָ</small>
Proverbs 30:15	<small>ב</small>
Job 7:5	<small>ג</small>
Job 16:14	<small>ץ</small>
Job 33:9	<small>חַ֥</small>
Lamentations 1:12	<small>ל֣</small>
Lamentations 2:9	<small>טָ</small>
Lamentations 3:36	<small>עַ</small>
Esther 9:7	<small>תָ</small>
Esther 9:9	<small>שְׁ</small>
Esther 9:9	<small>זָֽ</small>
Daniel 6:20	<small>פַּ</small>
