FILE                                       DEST_REPO                  DEST_PATH                                               IDENTITY       LAST_SYNCED  HINT_NOTES
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
bib_locales.py                             MAM-simple                 py-examples/mb_cmn/bib_locales.py                       eol-only       2026-05-01   generated
cantsys.py                                 MAM-simple                 py-examples/mb_cmn/cantsys.py                           eol-only       2026-05-01   generated
file_io.py                                 MAM-simple                 py-examples/mb_cmn/file_io.py                           identical      2026-08-02   generated
he_wikisource_url.py                       MAM-simple                 py-examples/mb_cmn/he_wikisource_url.py                 eol-only       2026-05-03   generated
hebrew_accents.py                          MAM-simple                 py-examples/mb_cmn/hebrew_accents.py                    identical      2026-08-01   generated
hebrew_letters.py                          MAM-simple                 py-examples/mb_cmn/hebrew_letters.py                    eol-only       2026-05-01   generated
hebrew_points.py                           MAM-simple                 py-examples/mb_cmn/hebrew_points.py                     eol-only       2026-05-01   generated
hebrew_punctuation.py                      MAM-simple                 py-examples/mb_cmn/hebrew_punctuation.py                eol-only       2026-05-01   generated
my_utils.py                                MAM-simple                 py-examples/mb_cmn/my_utils.py                          identical      2026-07-15   generated
provenance.py                              MAM-simple                 py-examples/mb_cmn/provenance.py                        identical      2026-08-31   generated
shrink.py                                  MAM-simple                 py-examples/mb_cmn/shrink.py                            eol-only       2026-05-01   generated
str_defs.py                                MAM-simple                 py-examples/mb_cmn/str_defs.py                          eol-only       2026-05-01   generated
template_names.py                          MAM-simple                 py-examples/mb_cmn/template_names.py                    identical      2026-09-04   generated
uni_heb.py                                 MAM-simple                 py-examples/mb_cmn/uni_heb.py                           identical      2026-08-07   generated
url_percent.py                             MAM-simple                 py-examples/mb_cmn/url_percent.py                       identical      2026-08-07   generated
ws_tmpl1.py                                MAM-simple                 py-examples/mb_cmn/ws_tmpl1.py                          eol-only       2026-05-19   generated
ws_tmpl2.py                                MAM-simple                 py-examples/mb_cmn/ws_tmpl2.py                          identical      2026-08-01   generated
ws_tmpl_named_params.py                    MAM-simple                 py-examples/mb_cmn/ws_tmpl_named_params.py              eol-only       2026-05-07   generated
hebrew_letter_names.py                     MAM-simple                 py-examples/mb_misc/hebrew_letter_names.py              eol-only       2026-05-07   generated
hebrew_letter_words.py                     MAM-simple                 py-examples/mb_misc/hebrew_letter_words.py              eol-only       2026-05-07   generated
letter_small_job.py                        MAM-simple                 py-examples/mb_misc/letter_small_job.py                 eol-only       2026-09-01   generated
mb_html.py                                 MAM-simple                 py-examples/mb_misc/mb_html.py                          identical      2026-08-01   generated
mb_html_get_lines.py                       MAM-simple                 py-examples/mb_misc/mb_html_get_lines.py                identical      2026-08-01   generated
my_utils_for_mainish.py                    MAM-simple                 py-examples/mb_misc/my_utils_for_mainish.py             eol-only       2026-05-01   generated
osis_book_abbrevs.py                       MAM-simple                 py-examples/mb_misc/osis_book_abbrevs.py                eol-only       2026-05-01   generated
slh_description.py                         MAM-simple                 py-examples/mb_misc/slh_description.py                  eol-only       2026-05-07   generated
styles_authored.py                         MAM-simple                 py-examples/mb_misc/styles_authored.py                  identical      2026-07-06   generated
styles_mam_parsed.py                       MAM-simple                 py-examples/mb_misc/styles_mam_parsed.py                identical      2026-07-06   generated
styles_mam_with_doc.py                     MAM-simple                 py-examples/mb_misc/styles_mam_with_doc.py              identical      2026-07-06   generated
verse_and_friends.py                       MAM-simple                 py-examples/mb_misc/verse_and_friends.py                eol-only       2026-05-01   generated
write_utils.py                             MAM-simple                 py-examples/mb_misc/write_utils.py                      identical      2026-07-06   generated
ws_urls.py                                 MAM-simple                 py-examples/mb_misc/ws_urls.py                          eol-only       2026-05-03   generated
mam4ajf_handlers.py                        MAM-simple                 py-examples/mb_sefaria/mam4ajf_handlers.py              eol-only       2026-05-02   generated
mam4sef_handlers.py                        MAM-simple                 py-examples/mb_sefaria/mam4sef_handlers.py              eol-only       2026-05-01   generated
mam4sef_or_ajf.py                          MAM-simple                 py-examples/mb_sefaria/mam4sef_or_ajf.py                eol-only       2026-05-19   generated
mam4sef_runners.py                         MAM-simple                 py-examples/mb_sefaria/mam4sef_runners.py               eol-only       2026-05-07   generated
sef_cmn.py                                 MAM-simple                 py-examples/mb_sefaria/sef_cmn.py                       eol-only       2026-05-01   generated
sef_header.py                              MAM-simple                 py-examples/mb_sefaria/sef_header.py                    eol-only       2026-05-03   generated
write_utils_sef_or_ajf.py                  MAM-simple                 py-examples/mb_sefaria/write_utils_sef_or_ajf.py        eol-only       2026-05-01   generated
osis_handlers.py                           MAM-simple                 py-examples/osis/osis_handlers.py                       eol-only       2026-05-07   generated
osis_index_html.py                         MAM-simple                 py-examples/osis/osis_index_html.py                     identical      2026-07-06   generated
osis_namespace.py                          MAM-simple                 py-examples/osis/osis_namespace.py                      eol-only       2026-05-01   generated
osis_runner.py                             MAM-simple                 py-examples/osis/osis_runner.py                         identical      2026-09-01   generated
